treatment,outcome,effect,stderr,p_value,error
total_health_spending_percent_of_gdp,government_health_spending_of_total_gov_spending_percent,,,,exog contains inf or nans
government_share_of_total_health_spending_percent,total_population_with_projections,,,,exog contains inf or nans
pab_immunized_percent_of_newborns,hdi_human_development_index,,,,exog contains inf or nans
hdi_human_development_index,prostate_cancer_deaths_per_100000_men,,,,exog contains inf or nans
total_health_spending_per_person_international_dollar,hdi_human_development_index,,,,exog contains inf or nans
new_births_total_number_estimated,hepb3_immunized_percent_of_one_year_olds,,,,exog contains inf or nans
hiv_deaths_in_children_1_59_months_total_deaths,tb_programme_dots_population_coverage_percent,,,,exog contains inf or nans
imports_unit_value_index_2000100,trade_balance_us_not_inflation_adjusted,,,,exog contains inf or nans
income_per_person_gdppercapita_ppp_inflation_adjusted,industry_percent_of_gdp,,,,exog contains inf or nans
income_per_person_long_series,income_per_person_with_projections,,,,exog contains inf or nans
industry_percent_of_gdp,income_per_person_with_projections,,,,exog contains inf or nans
sugar_per_person_g_per_day,industry_percent_of_gdp,,,,exog contains inf or nans
motorcycle_deaths_per_100000_people,infant_mortality_rate_per_1000_births,,,,exog contains inf or nans
under_five_mortality_from_ihme_per_1000_born,infectious_tb_detection_rate_percent,,,,exog contains inf or nans
wood_removal_cubic_meters,infectious_tb_detection_rate_percent,,,,exog contains inf or nans
infectious_tb_new_cases_per_100000_reported,infectious_tb_number_of_new_cases_estimated,,,,exog contains inf or nans
infectious_tb_new_cases_per_100000_reported,infectious_tb_treatment_dots_completed_percent,,,,exog contains inf or nans
inflation_annual_percent,infectious_tb_treatment_dots_completed_percent,,,,exog contains inf or nans
infectious_tb_treatment_dots_completed_percent,teen_fertility_rate_births_per_1000_women_ages_15_19,,,,exog contains inf or nans
plane_crash_affected_annual_number,life_expectancy_at_birth_with_projections,,,,exog contains inf or nans
suicide_total_deaths,life_expectancy_at_birth_with_projections,,,,exog contains inf or nans
liver_cancer_number_of_female_deaths,lung_cancer_number_of_female_deaths,,,,exog contains inf or nans
newborn_mortality_rate_per_1000,liver_cancer_number_of_female_deaths,,,,exog contains inf or nans
lung_cancer_deaths_per_100000_men,liver_cancer_number_of_new_female_cases,,,,exog contains inf or nans
net_barter_terms_of_trade_2000_100,lung_cancer_deaths_per_100000_women,,,,exog contains inf or nans
lung_cancer_new_cases_per_100000_men,stomach_cancer_new_cases_per_100000_women,,,,exog contains inf or nans
lung_cancer_number_of_female_deaths,stomach_cancer_deaths_per_100000_women,,,,exog contains inf or nans
lung_cancer_number_of_female_deaths,stomach_cancer_new_cases_per_100000_men,,,,exog contains inf or nans
lung_cancer_number_of_new_female_cases,malaria_cases_per_100000_reported,,,,exog contains inf or nans
ncd_deaths_in_children_1_59_months_total_deaths,lung_cancer_number_of_new_female_cases,,,,exog contains inf or nans
sulfur_emissions_per_person_kg,lung_cancer_number_of_new_female_cases,,,,exog contains inf or nans
net_barter_terms_of_trade_2000_100,malaria_number_of_cases_reported,,,,exog contains inf or nans
males_aged_15_24_employment_rate_percent,male_agriculture_workers_percent_of_male_employment,,,,exog contains inf or nans
males_aged_25_54_labour_force_participation_rate_percent,male_agriculture_workers_percent_of_male_employment,,,,exog contains inf or nans
male_industry_workers_percent_of_male_employment,male_population_with_projections,,,,exog contains inf or nans
maternal_deaths_total_number,male_population_with_projections,,,,exog contains inf or nans
male_service_workers_percent_of_male_employment,services_percent_of_gdp,,,,exog contains inf or nans
maternal_mortality_ratio_who,maternal_mortality_ratio_per_100000_live_births,,,,exog contains inf or nans
maternal_mortality_ratio_who,mcv_immunized_percent_of_one_year_olds,,,,exog contains inf or nans
mean_years_in_school_men_35_to_44_years,mean_years_in_school_women_35_to_44_years,,,,exog contains inf or nans
